,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
31,Cape Town,0,ZA,88,-33.93,18.42,20.43,3.1
32,Praia da Vitoria,75,PT,82,38.73,-27.07,18.0,13.73
33,Punta Arenas,90,CL,87,-53.16,-70.91,10.51,6.7
34,New Norfolk,40,AU,47,-42.78,147.06,12.22,6.7
35,Hithadhoo,100,MV,79,-0.6,73.08,27.65,6.16
36,Hobart,40,AU,47,-42.88,147.33,12.3,6.7
37,Busselton,0,AU,39,-33.65,115.33,15.12,6.57
38,Klaksvik,100,FO,93,62.23,-6.59,6.0,5.7
39,Dandeli,0,IN,85,15.34,74.49,18.73,2.28
40,Rikitea,14,PF,83,-23.12,-134.97,24.7,9.25
41,Lebu,0,CL,52,-37.62,-73.65,18.78,5.27
42,Port Blair,94,IN,75,11.67,92.75,26.77,5.82
43,Bethel,40,US,66,41.37,-73.41,9.01,5.1
44,Beringovskiy,100,RU,91,63.05,179.32,-5.13,10.49
45,Butaritari,100,KI,71,3.07,172.79,28.58,1.22
46,Ushuaia,90,AR,50,-54.8,-68.3,12.0,2.1
47,East London,99,ZA,82,-33.02,27.91,21.6,9.8
48,Mahebourg,20,MU,88,-20.41,57.7,22.88,1.0
49,Atuona,26,PF,73,-9.8,-139.03,27.42,9.14
50,Hofn,90,IS,81,64.25,-15.21,6.0,11.3
51,Sitka,90,US,68,57.05,-135.33,-3.76,3.1
52,Berdigestyakh,100,RU,96,62.1,126.7,-19.91,2.9
53,Leh,67,IN,34,34.17,77.58,-21.17,1.12
54,Bredasdorp,0,ZA,84,-34.53,20.04,20.56,1.79
55,Mount Gambier,90,AU,62,-37.83,140.77,14.0,5.7
56,Phetchaburi,100,TH,77,12.97,99.58,21.64,1.86
57,Luba,20,GQ,88,3.46,8.55,27.0,2.1
58,Provideniya,100,RU,97,64.38,-173.3,-21.37,7.37
59,Suhbaatar,0,MN,91,50.23,106.21,-23.68,1.06
60,Puerto Ayora,20,EC,58,-0.74,-90.35,28.33,8.7
61,Meadow Lake,75,US,38,34.8,-106.54,3.65,11.8
62,Wilmington,90,US,72,34.23,-77.94,18.77,2.1
63,Bathsheba,40,BB,58,13.22,-59.52,28.0,14.9
64,Husavik,75,IS,80,66.04,-17.34,4.0,15.4
65,Ternate,100,ID,93,0.8,127.4,23.78,0.88
66,Salinas,1,US,76,36.68,-121.66,12.87,1.26
67,Yumen,91,CN,67,40.28,97.2,-7.59,2.06
68,Departamento de Maldonado,75,UY,65,-34.67,-54.92,25.0,5.1
69,Torbay,75,CA,66,47.67,-52.73,-9.09,5.7
70,Qaanaaq,0,GL,46,77.48,-69.36,-19.54,3.13
71,Tarasovskiy,100,RU,96,48.73,40.36,-1.47,2.14
72,Chokurdakh,62,RU,100,70.63,147.92,-32.74,0.22
73,Ilulissat,75,GL,58,69.22,-51.1,-21.0,14.4
74,Port Elizabeth,90,ZA,73,-33.92,25.57,21.0,7.2
75,Mehamn,75,NO,90,71.04,27.85,0.0,5.1
76,Roald,100,NO,60,62.58,6.13,3.91,4.1
77,Narsaq,75,GL,45,60.92,-46.05,-15.0,1.5
78,Tilichiki,100,RU,89,60.47,166.1,-18.08,4.58
79,Ulladulla,90,AU,87,-35.35,150.47,15.28,5.1
80,Iqaluit,75,CA,62,63.75,-68.51,-25.0,7.7
81,Carnarvon,0,ZA,26,-30.97,22.13,25.3,4.44
82,Hirado,90,JP,66,33.36,129.55,8.7,2.6
83,George Town,20,MY,94,5.41,100.34,25.76,1.0
84,Port Alfred,98,ZA,85,-33.59,26.89,21.11,3.58
85,Sao Joao da Barra,20,BR,62,-21.64,-41.05,29.48,7.2
86,Ambovombe,93,MG,83,-25.17,46.08,21.88,1.93
87,Diffa,94,NE,22,13.32,12.61,23.08,4.58
88,Waslala,40,NI,73,13.23,-85.38,22.0,8.2
89,Tuktoyaktuk,90,CA,76,69.45,-133.04,-24.0,7.2
90,Ahipara,6,NZ,86,-35.17,173.17,21.67,0.45
91,Zeya,0,RU,84,53.75,127.27,-20.87,2.42
92,Hualmay,14,PE,62,-11.1,-77.61,24.92,4.54
93,Mar del Plata,0,AR,38,-38.0,-57.56,23.0,5.1
94,Aksarka,84,RU,93,66.56,67.8,-9.91,8.06
95,Norman Wells,90,CA,73,65.28,-126.83,-34.0,2.1
96,Nuuk,20,GL,71,64.18,-51.72,-14.22,6.2
97,Port Lincoln,62,AU,70,-34.73,135.87,16.11,5.42
98,Vilyuysk,100,RU,97,63.76,121.62,-19.48,2.84
99,Kez,100,RU,96,57.9,53.72,-4.96,3.35
100,Bandarbeyla,0,SO,66,9.49,50.81,25.62,3.46
101,Havelock,90,US,52,34.88,-76.9,19.31,5.7
102,Baykit,100,RU,92,61.67,96.37,-18.03,2.17
103,Barrow,1,US,67,71.29,-156.79,-33.0,4.1
104,Longyearbyen,0,SJ,54,78.22,15.64,-15.0,10.8
105,Ribeira Grande,40,PT,88,38.52,-28.7,18.0,8.2
106,Saint George,1,US,26,37.1,-113.58,4.79,5.1
107,Conakry,8,GN,58,9.54,-13.68,28.0,2.1
108,Portland,90,US,75,45.52,-122.68,5.98,4.1
109,Pisco,0,PE,82,-13.7,-76.22,22.78,8.94
110,Pevek,100,RU,93,69.7,170.31,-19.77,3.23
111,Warrington,40,GB,81,53.39,-2.58,5.71,3.6
112,Dakar,21,SN,52,14.69,-17.44,19.48,7.7
113,Morros,35,BR,72,-9.45,-46.3,27.27,1.58
114,Tsimmerbude,75,RU,87,54.67,20.13,8.0,10.0
115,Lima,20,PE,73,-12.04,-77.03,24.0,5.7
116,Rocha,49,UY,60,-34.48,-54.33,26.25,4.04
117,Yellowknife,20,CA,65,62.46,-114.35,-38.0,1.5
118,Soyo,75,AO,94,-6.13,12.37,24.0,2.6
119,Upernavik,0,GL,70,72.79,-56.15,-23.04,1.03
120,Shubarkuduk,100,KZ,90,49.14,56.49,-10.98,2.0
121,Souillac,20,MU,88,-20.52,57.52,22.88,1.0
122,Fiditi,100,NG,69,7.71,3.92,28.0,4.1
123,Qurayyat,75,SA,86,31.33,37.34,5.0,3.1
124,Los Llanos de Aridane,75,ES,59,28.66,-17.92,16.78,4.1
125,Khartoum,0,SD,25,15.55,32.53,16.0,5.1
126,Vila Velha,50,BR,66,-20.33,-40.29,28.31,9.8
127,Kruisfontein,95,ZA,84,-34.0,24.73,18.34,6.8
128,Vestmannaeyjar,100,IS,80,63.44,-20.27,6.28,19.12
129,Mari-Turek,99,RU,94,56.79,49.62,-3.67,4.57
130,Benguela,98,AO,85,-12.58,13.41,23.12,2.21
131,Margate,75,GB,80,51.38,1.39,4.6,3.6
132,Kathmandu,75,NP,93,27.72,85.32,6.0,1.0
133,Cherskiy,100,RU,97,68.75,161.3,-27.9,2.22
134,Suksun,99,RU,91,57.14,57.39,-11.16,5.35
135,Lalibela,0,ET,44,12.03,39.03,14.78,0.75
136,Qaqortoq,75,GL,45,60.72,-46.03,-15.0,1.5
137,Ola,23,RU,76,59.58,151.28,-21.52,3.22
138,College,1,US,65,64.86,-147.8,-33.12,0.45
139,Oistins,40,BB,58,13.07,-59.53,28.0,14.9
140,Aguada de Pasajeros,20,CU,62,22.39,-80.85,30.0,4.6
141,Kodiak,90,US,86,57.79,-152.41,-2.0,1.5
142,Black River,40,JM,74,18.03,-77.85,27.67,8.7
143,Lavrentiya,97,RU,64,65.58,-171.0,-17.73,5.54
144,Faanui,30,PF,73,-16.48,-151.75,27.68,7.5
145,Vostok,98,RU,97,46.49,135.88,-17.04,1.42
146,Tasiilaq,75,GL,47,65.61,-37.64,-9.0,5.7
147,Arraial do Cabo,99,BR,70,-22.97,-42.03,31.03,7.2
148,Hasaki,75,JP,86,35.73,140.83,2.0,2.6
149,Vagur,100,FO,80,61.47,-6.81,9.1,16.09
150,Lompoc,1,US,50,34.64,-120.46,15.76,4.38
151,Maraa,58,BR,56,-1.83,-65.37,32.06,0.93
152,Dongying,67,CN,59,37.46,118.49,-1.07,3.59
153,Moron,78,AR,35,-34.65,-58.62,30.41,3.1
154,Sao Filipe,56,CV,71,14.9,-24.5,19.92,7.82
155,Vallenar,92,CL,44,-28.57,-70.76,23.28,5.04
156,Nema,91,RU,96,57.51,50.5,-4.6,3.23
157,Pucallpa,85,PE,29,-8.38,-74.55,36.26,2.09
158,Pangnirtung,75,CA,61,66.15,-65.71,-30.0,0.13
159,Ponta do Sol,75,PT,63,32.67,-17.1,15.3,4.1
160,Srednekolymsk,100,RU,96,67.45,153.68,-30.44,0.62
161,Manga,100,BF,23,11.66,-1.07,27.65,2.09
162,Magan,0,ES,66,39.97,-3.93,6.35,3.6
163,Chitipa,100,MW,92,-9.7,33.27,17.85,1.28
164,Phenix City,75,US,56,32.47,-85.0,21.7,5.7
165,Dingle,100,PH,91,11.0,122.67,22.67,4.72
166,Salalah,20,OM,73,17.02,54.09,25.0,4.1
167,Esperance,40,AU,62,-33.87,121.9,15.0,2.6
168,Ondjiva,100,AO,56,-17.07,15.73,23.08,3.77
169,Fortuna,90,US,81,40.6,-124.16,9.45,2.1
170,Mossendjo,100,CG,94,-2.95,12.73,21.08,0.39
171,Santa Marta,20,CO,66,11.24,-74.2,32.0,4.6
172,Cayenne,40,GF,65,4.94,-52.33,28.0,5.7
173,Airai,100,TL,81,-8.93,125.41,19.15,1.98
174,Progreso,75,MX,58,21.28,-89.67,31.34,6.7
175,Saint-Francois,75,FR,93,46.42,3.91,5.79,1.0
176,Porto-Novo,2,BJ,94,6.5,2.6,28.0,3.1
177,Yeniseysk,71,RU,98,58.45,92.17,-21.9,1.96
178,Cao Bang,93,VN,94,22.67,106.25,18.44,0.97
179,Kibaha,40,TZ,83,-6.77,38.92,27.44,2.1
180,Vila Franca do Campo,40,PT,82,37.72,-25.43,18.0,6.7
181,Cabedelo,20,BR,62,-6.98,-34.83,29.0,5.1
182,Saskylakh,100,RU,96,71.92,114.08,-22.51,6.74
183,Talakan,100,RU,99,50.32,130.37,-20.39,1.68
184,Varhaug,97,NO,74,58.61,5.65,2.8,3.1
185,Labuhan,100,ID,92,-6.88,112.21,23.32,2.25
186,Anchorage,1,US,83,61.22,-149.9,-24.04,1.13
187,OEstersund,65,SE,79,63.18,14.64,-3.36,4.6
188,Vila do Maio,54,CV,60,15.13,-23.22,21.0,7.7
189,Lodwar,4,KE,32,3.12,35.6,31.12,1.83
190,Garachine,39,PA,71,8.06,-78.36,29.34,6.93
191,Pitimbu,20,BR,62,-7.47,-34.81,29.0,5.1
192,Saint-Pierre,20,RE,73,-21.34,55.48,20.66,3.1
193,Sena Madureira,97,BR,79,-9.07,-68.66,28.27,1.69
194,Bambous Virieux,20,MU,88,-20.34,57.76,22.88,1.0
195,Umm Lajj,76,SA,61,25.02,37.27,13.54,3.48
196,Catalina Foothills,1,US,40,32.3,-110.92,12.39,4.1
197,Balabac,100,PH,81,7.99,117.06,26.46,4.04
198,Tumen,5,CN,88,42.97,129.84,-12.42,2.47
199,Chardara,100,KZ,47,41.25,67.97,4.26,1.26
200,Port Hedland,75,AU,69,-20.32,118.57,27.0,4.6
201,Adeje,20,ES,63,28.12,-16.73,17.38,4.1
202,Wencheng,85,CN,76,33.06,113.8,1.53,1.74
203,Stornoway,75,GB,93,58.21,-6.39,8.16,16.5
204,Abha,40,SA,81,18.22,42.51,12.0,4.6
205,Gimli,100,CA,72,50.63,-96.99,-19.11,3.91
206,Adrar,0,MR,15,20.5,-10.07,14.02,5.58
207,Ust'-Uda,93,RU,98,54.17,103.03,-17.22,0.35
208,La Ronge,20,CA,68,55.1,-105.28,-26.0,1.0
209,Nikolskoye,90,RU,92,59.7,30.79,-1.16,2.0
210,Iwanai,15,JP,93,42.97,140.51,-5.63,3.66
211,Kahului,40,US,83,20.89,-156.47,21.96,7.7
212,Clyde River,20,CA,74,70.47,-68.59,-30.0,9.3
213,Kunming,0,CN,81,25.04,102.72,7.0,5.0
214,Lubao,90,PH,83,14.92,120.55,24.13,3.1
215,Ergani,0,TR,80,38.27,39.76,0.51,3.6
216,Shieli,59,KZ,74,44.17,66.75,-1.36,2.53
217,Touros,20,BR,69,-5.2,-35.46,28.0,7.2
218,Khatanga,100,RU,96,71.97,102.5,-16.74,3.07
219,Charleroi,75,BE,93,50.41,4.45,5.12,2.1
220,Tuy Hoa,88,VN,84,13.08,109.3,24.01,5.31
221,General Roca,0,AR,13,-39.03,-67.58,28.0,4.6
222,Conde,20,BR,62,-7.26,-34.91,29.0,5.1
223,Guerrero Negro,0,MX,43,27.98,-114.06,19.26,4.8
224,Kiunga,100,PG,99,-6.12,141.29,23.51,0.8
225,Sehore,0,IN,53,23.2,77.08,9.29,2.85
226,Hong Kong,40,HK,88,22.29,114.16,19.02,4.1
227,Pahrump,1,US,24,36.21,-115.98,9.67,1.5
228,Bundaberg,40,AU,83,-24.85,152.35,24.03,3.02
229,Malpe,38,IN,83,13.35,74.72,25.0,3.03
230,Tocopilla,100,CL,29,-22.09,-70.2,22.84,4.51
231,Sibolga,100,ID,99,1.74,98.78,21.81,0.71
232,Saldanha,0,ZA,85,-33.01,17.94,18.0,4.36
233,Mahanoro,79,MG,63,-19.9,48.8,26.81,3.3
234,Tashtyp,89,RU,99,52.79,89.9,-19.53,0.91
235,Chui,70,UY,75,-33.7,-53.46,26.38,5.37
236,Namatanai,100,PG,81,-3.67,152.43,27.11,3.6
237,Zhicheng,47,CN,87,30.3,111.5,2.78,2.29
238,Thompson,40,CA,68,55.74,-97.86,-26.0,4.6
239,Yerbogachen,100,RU,84,61.28,108.01,-16.71,6.36
240,Udachny,75,RU,84,66.42,112.4,-16.0,3.0
241,San Carlos,91,VE,42,9.66,-68.58,31.18,3.26
242,Harper,22,LR,90,4.38,-7.72,25.44,1.69
243,Geraldton,0,AU,30,-28.77,114.6,20.0,4.1
244,Alta Floresta,20,BR,58,-9.88,-56.09,31.0,1.5
245,Saint Anthony,75,US,57,45.02,-93.22,-8.9,4.1
246,Laguna,1,US,81,38.42,-121.42,10.66,4.6
247,Deputatsky,0,RU,99,69.3,139.9,-30.69,0.87
248,Bajil,80,YE,88,15.06,43.29,21.1,1.19
249,Tomislavgrad,66,BA,74,43.72,17.23,-1.08,1.0
250,Dali,0,CN,97,25.7,100.18,1.95,0.93
251,Markova,100,UA,79,48.68,24.41,1.0,3.62
252,Marawi,49,PH,92,8.0,124.29,23.33,2.24
253,Olafsvik,100,IS,94,64.89,-23.71,3.26,10.09
254,Kiryat Gat,40,IL,93,31.61,34.76,6.44,3.1
255,Walvis Bay,33,NA,82,-22.96,14.51,18.56,4.1
256,Safaga,0,EG,58,26.73,33.94,13.0,5.7
257,Faya,40,SA,81,18.39,42.45,12.0,4.6
258,Shumskiy,0,RU,96,54.83,99.13,-18.66,1.32
259,Tortoli,75,IT,100,39.93,9.66,9.71,5.7
260,Kavieng,100,PG,83,-2.57,150.8,27.72,8.05
261,Acapulco de Juarez,5,MX,62,16.86,-99.89,31.0,4.1
262,South Lake Tahoe,1,US,37,38.93,-119.98,4.5,2.87
263,Araouane,78,ML,18,18.9,-3.53,16.7,5.51
264,Vao,100,NC,84,-22.67,167.48,25.44,9.16
265,Maracaibo,37,VE,62,10.63,-71.64,30.1,1.25
266,Liverpool,40,GB,81,53.41,-2.98,6.29,3.6
267,Ishigaki,56,JP,66,24.34,124.16,20.77,3.7
268,Kashgar,40,CN,79,39.45,75.98,-7.0,1.0
269,Bosaso,4,SO,70,11.28,49.18,25.54,2.46
270,Cairns,75,AU,88,-16.92,145.77,23.6,4.6
271,Cidreira,56,BR,87,-30.18,-50.21,25.78,7.08
272,Cabo San Lucas,75,MX,49,22.89,-109.91,22.12,2.1
273,Orlik,0,RU,90,52.52,99.83,-25.99,0.91
274,Nome,1,US,42,64.5,-165.41,-13.0,9.8
275,Kawalu,100,ID,88,-7.38,108.21,20.68,1.25
276,Pemangkat,100,ID,85,1.17,108.97,25.4,0.74
277,Dungarvan,75,IE,87,52.09,-7.63,10.21,14.9
278,Elliot Lake,90,CA,80,46.38,-82.63,2.0,4.1
279,Durango,75,MX,10,23.99,-104.67,21.05,10.3
280,Soe,100,ID,80,-9.86,124.28,24.23,2.32
281,Gonen,0,TR,79,40.1,27.65,1.56,1.0
282,Celestun,31,MX,77,20.87,-90.4,26.56,6.07
283,Tiznit,0,MA,70,29.58,-9.5,11.94,0.25
284,Almaznyy,90,RU,97,48.04,40.05,0.0,2.0
285,Aykhal,75,RU,84,66.0,111.5,-16.0,3.0
286,Marica,20,BR,74,-22.92,-42.82,31.03,4.1
287,Rush,75,IE,81,53.52,-6.09,9.2,9.3
288,Flagstaff,1,US,60,35.2,-111.65,5.11,4.21
289,Shamkhal,90,RU,86,43.06,47.34,2.88,3.0
290,Amurzet,99,RU,81,47.7,131.1,-15.31,3.97
291,Havre-Saint-Pierre,90,CA,79,50.23,-63.6,-6.0,6.2
292,Flinders,90,AU,87,-34.58,150.86,17.31,5.1
293,Jinxi,100,CN,90,30.43,116.29,5.42,0.78
294,Katsuura,75,JP,65,35.13,140.3,7.3,4.6
295,Opuwo,25,NA,42,-18.06,13.84,21.66,3.46
296,Poronaysk,100,RU,95,49.22,143.12,-7.55,1.39
297,Rawson,0,AR,44,-43.3,-65.1,21.4,4.8
298,Stonewall,20,CA,58,50.13,-97.33,-19.9,5.7
299,Morondava,100,MG,82,-20.28,44.28,26.14,1.17
300,Piacabucu,4,BR,73,-10.41,-36.43,26.62,3.99
301,Sao Jose da Coroa Grande,19,BR,73,-8.9,-35.15,27.52,5.9
302,Thai Binh,75,VN,94,20.45,106.33,21.0,2.1
303,Waipawa,95,NZ,72,-41.41,175.52,16.09,11.3
304,Port Hardy,90,CA,93,50.7,-127.42,4.0,12.3
305,Praia,74,CV,60,14.92,-23.51,21.0,7.7
306,Minot,1,US,59,48.23,-101.3,-16.79,1.5
307,Biak,100,ID,76,-0.91,122.88,27.63,1.46
308,Ugoofaaru,42,MV,76,5.67,73.0,26.94,8.33
309,Teya,73,RU,95,60.38,92.63,-19.83,3.48
310,La Primavera,67,CO,40,5.49,-70.41,32.62,5.84
311,Arrecife,40,ES,77,28.96,-13.55,18.0,7.7
312,Alofi,75,NU,78,-19.06,-169.92,28.0,7.7
313,Rio Grande,90,BR,94,-32.03,-52.1,26.43,1.0
314,Sorland,75,NO,75,67.67,12.69,2.0,3.1
315,Nouakchott,99,MR,14,18.09,-15.98,17.0,4.1
316,Chinchani,0,IN,64,19.87,72.7,24.74,5.16
317,Ileza,98,RU,95,61.05,43.9,-4.9,3.35
318,Coquimbo,80,CL,68,-29.95,-71.34,19.0,7.7
319,Kamenka,100,RU,95,51.32,42.77,-1.67,3.14
320,Antofagasta,75,CL,68,-23.65,-70.4,21.0,7.2
321,Whitehorse,75,CA,67,60.72,-135.05,-31.89,4.6
322,Alexandria,40,EG,62,31.22,29.96,14.45,3.6
323,Bari,100,IT,93,41.12,16.85,5.58,2.6
324,Ponta Delgada,40,PT,82,37.73,-25.67,18.0,6.7
325,Nouadhibou,0,MR,59,20.93,-17.03,19.0,7.7
326,Bariloche,0,AR,42,-41.15,-71.31,17.0,9.8
327,Aguimes,40,ES,72,27.91,-15.45,18.72,7.7
328,Chapais,90,CA,92,49.78,-74.85,-3.0,4.1
329,Henties Bay,51,NA,87,-22.12,14.28,18.89,1.34
330,Malmesbury,0,ZA,88,-33.46,18.73,20.66,3.1
331,Hobyo,76,SO,79,5.35,48.53,25.29,3.87
332,Matara,100,LK,87,5.95,80.54,21.66,1.47
333,Rtishchevo,100,RU,96,52.26,43.79,-3.05,2.78
334,Luderitz,0,NA,64,-26.65,15.16,21.0,1.5
335,Bara,64,NG,33,10.37,10.73,23.74,3.04
336,Payakumbuh,100,ID,96,-0.22,100.63,18.41,1.86
337,Atambua,100,ID,89,-9.11,124.89,24.15,1.5
338,Kudahuvadhoo,5,MV,76,2.67,72.89,27.3,7.81
339,Athabasca,97,CA,95,54.72,-113.29,-21.52,3.56
340,Kyaikkami,2,MM,57,16.08,97.57,26.01,2.13
341,San Miguel de Tucuman,40,AR,94,-26.82,-65.22,21.0,5.1
342,Gudivada,2,IN,94,16.43,80.99,20.22,1.41
343,Bolshaya Martynovka,100,RU,91,47.27,41.67,-0.15,1.08
344,Bambanglipuro,100,ID,91,-7.95,110.28,23.73,1.0
345,Karligan,51,PH,88,14.97,122.05,24.59,3.85
346,Maniitsoq,100,GL,78,65.42,-52.9,-14.5,4.12
347,Dzaoudzi,100,YT,94,-12.79,45.27,27.0,1.5
348,Staryy Nadym,99,RU,93,65.61,72.68,-9.01,7.59
349,Muros,96,ES,100,42.78,-9.06,5.82,1.0
350,Elban,100,RU,97,50.1,136.51,-16.08,1.38
351,High Level,75,CA,75,58.52,-117.14,-29.0,3.1
352,Winslow,1,US,55,35.02,-110.7,1.55,5.93
353,Alta Gracia,40,AR,65,-31.65,-64.43,25.48,4.6
354,Sirvintos,90,LT,100,55.05,24.95,5.09,1.5
355,Sangar,100,RU,96,63.92,127.47,-25.84,2.05
356,Belaya Gora,98,RU,99,68.53,146.42,-32.37,1.2
357,Atar,0,MR,15,20.52,-13.05,13.02,4.14
358,Suluq,0,LY,74,31.67,20.25,10.7,1.51
359,Serik,0,TR,45,36.92,31.1,6.0,3.6
360,Cabra,0,ES,65,37.47,-4.44,7.7,1.5
361,Grindavik,90,IS,100,63.84,-22.43,3.58,8.2
362,Flin Flon,20,CA,69,54.77,-101.86,-23.0,2.6
363,Nampula,75,MZ,94,-15.12,39.27,23.0,3.1
364,Kyra,0,RU,85,49.58,111.98,-22.4,2.09
365,San Antonio,90,US,73,29.42,-98.49,24.2,7.2
366,Ketchikan,90,US,100,55.34,-131.65,1.52,5.7
367,Aloleng,0,PH,86,16.13,119.78,21.31,1.25
368,Huntsville,40,US,72,34.73,-86.59,17.82,6.7
369,Broken Hill,95,AU,63,-31.95,141.43,16.0,9.8
370,Kieta,100,PG,80,-6.22,155.63,26.97,1.44
371,Port-Gentil,20,GA,88,-0.72,8.78,27.0,3.1
372,Talnakh,75,RU,92,69.49,88.4,-8.0,14.0
373,Gigmoto,33,PH,76,13.78,124.39,26.51,4.65
374,Holme,31,DK,93,56.11,10.17,3.07,4.1
375,Bodden Town,75,KY,74,19.28,-81.25,28.61,7.7
376,Amapa,28,BR,93,1.0,-52.0,23.78,2.0
377,Ballina,100,AU,78,-28.87,153.57,24.27,5.1
378,Lata,15,PT,81,40.16,-8.33,6.64,1.5
379,Shemonaikha,0,KZ,97,50.63,81.91,-19.67,1.33
380,Kununurra,100,AU,88,-15.77,128.73,26.0,3.1
381,Lakes Entrance,17,AU,76,-37.88,147.98,13.98,1.34
382,Banda Aceh,66,ID,90,5.56,95.32,22.53,1.13
383,Ilabaya,88,PE,54,-17.42,-70.51,20.81,2.82
384,Samarai,99,PG,90,-10.62,150.67,24.49,1.0
385,Poum,100,NC,80,-20.23,164.02,26.98,10.08
386,Juchipila,26,MX,21,21.42,-103.12,22.69,6.15
387,Miyako,7,JP,86,39.64,141.95,-0.43,1.96
388,Rincon,40,US,68,32.3,-81.24,21.58,2.6
389,Tarko-Sale,100,RU,88,64.92,77.78,-7.78,0.89
390,Morogoro,20,TZ,94,-6.82,37.67,24.0,0.77
391,Usolye,95,RU,92,59.43,56.68,-5.56,0.89
392,Isangel,90,VU,100,-19.55,169.27,25.0,4.1
393,Jardim,55,BR,47,-21.48,-56.14,33.68,2.93
394,Glenwood Springs,75,US,49,39.55,-107.32,-4.16,2.94
395,Mbandaka,94,CD,91,0.05,18.26,21.29,1.4
396,Erdenet,95,MN,85,49.03,104.08,-20.59,1.81
397,Nizwa,100,OM,92,22.93,57.53,14.48,3.42
398,Khorixas,67,NA,41,-20.37,14.97,21.46,5.12
399,Pasighat,0,IN,69,28.07,95.33,11.82,1.36
400,Sirjan,94,IR,86,29.45,55.68,7.55,5.04
401,Kloulklubed,40,PW,94,7.04,134.26,25.0,1.5
402,Macusani,34,PE,57,-14.08,-70.43,8.45,4.14
403,Kilindoni,41,TZ,75,-7.91,39.67,28.63,3.86
404,At-Bashi,100,KG,56,41.17,75.81,-15.76,0.6
405,Anahuac,40,MX,51,27.23,-100.15,27.0,9.8
406,Borzya,0,RU,91,50.38,116.52,-23.84,2.18
407,Saint-Augustin,100,CA,89,51.23,-58.65,-8.56,6.19
408,Vaxjo,94,SE,93,56.88,14.81,2.25,4.6
409,Ancud,90,CL,59,-41.87,-73.82,17.0,4.1
410,Great Yarmouth,0,GB,93,52.61,1.73,2.93,3.6
411,Maceio,20,BR,62,-9.67,-35.74,29.0,7.2
412,Salaga,31,GH,26,8.55,-0.52,30.5,1.41
413,Zhigansk,100,RU,94,66.77,123.37,-24.27,8.59
414,Arona,20,ES,68,28.1,-16.68,17.59,3.6
415,Arnedo,75,ES,81,42.22,-2.1,5.78,3.1
416,Say,100,NE,18,13.1,2.37,28.0,1.0
417,Haines Junction,78,CA,98,60.75,-137.51,-32.02,3.79
418,Nishihara,20,JP,87,26.18,127.76,13.97,1.5
419,Doha,20,QA,88,25.29,51.53,19.32,4.1
420,Taoudenni,0,ML,19,22.68,-3.98,13.77,4.07
421,Baguanos,40,CU,74,20.75,-76.03,27.0,10.3
422,Birao,66,CF,19,10.28,22.79,19.43,4.59
423,Dunedin,100,NZ,71,-45.87,170.5,14.25,4.54
424,Cabrero,75,CL,32,-37.03,-72.4,25.59,7.7
425,Heihe,20,CN,84,50.24,127.49,-19.0,2.0
426,Birjand,75,IR,75,32.87,59.22,5.0,8.2
427,San Felipe,100,VE,85,10.34,-68.74,23.69,3.28
428,Northam,20,GB,87,51.03,-4.22,6.7,1.5
429,Ayotzintepec,0,MX,61,17.67,-96.13,24.84,1.98
430,Aitape,100,PG,84,-3.14,142.35,27.33,5.62
